Song Name,Buildups,Drops
Ariana_Grande_-_No_Tears_Left_To_Cry_(Dark_Intensity_Remix),"78.8, 156.9, 217.8","94.0, 172.1, 233.1"
Ariana_Grande_-_Side_To_Side_(TRU_Concept_Remix_ft._Romany),"33.0, 154.9","48.2, 170.1"
Axwell_Ingrosso-On_My_Way_Dave_Winnel_Remix,"70.3, 171.8","93.8, 203.0"
Axwell_Ingrosso_-_More_Than_You_Know_(Extended_Mix),"30.6, 174.2","60.8, 189.3"
Bastille_-_Good_Grief_(Don_Diablo_Remix),"57.8, 141.6","88.3, 172.1"
Bebe_Rexha_-_I_Got_You_(DJ_Andy_Light_&_DJ_Pavlov_Remix),"31.9, 136.9","46.9, 166.9"
Bee_Gees_-_Stayin'_Alive_(EVRYBDY_Bootleg),"76.9, 151.7","92.2, 167.1"
Calvin_Harris_&_Disciples_-_How_Deep_Is_Your_Love,"23.2, 88.4, 149.9, 195.9","38.5, 103.8, 165.2, 211.3"
Calvin_Harris_-_I_Need_Your_Love,"67.4, 154.8","92.9, 170.3"
Calvin_Harris_-_My_Way_(Danny_Dove_Remix),"75.0, 150.0, 210.0","90.1, 165.1, 225.1"
Calvin_Harris_-_Summer_(Extended),"30.9, 108.3, 170.3","46.5, 123.9, 185.8"
Calvin_Harris_-_This_Is_What_You_Came_For_(feat._Rihanna),"47.2, 110.2, 157.3","62.9, 125.9, 173.1"
Calvo_-_Vicious_Girl_(Original_Mix),"61.5, 153.7","76.9, 169.0"
Camila_Cabello_-_Havana_ft._Young_Thug_(Dim_Wilder_Remix),"32.6, 132.5","48.0, 147.8"
Cash_Cash_-_Take_Me_Home,"60.2, 137.0","75.1, 152.0"
Charlie_Puth_-_Attention_(Amice_Remix),"61.0, 152.5","76.3, 167.7"
Cheat_Codes_&_DVBBS_-_I_Love_It,"64.5, 147.8","80.3, 163.7"
Cheat_Codes_(ft._Demi_Lovato)_-_No_Promises_(Ashworth_Remix),"42.0, 106.0","58.0, 122.0"
DVBBS_-_Ur_on_My_Mind,"60.9, 137.1, 198.1","76.1, 152.3, 213.3"
David_Guetta_-_Titanium_(feat._Sia),"20.7, 58.2, 95.7, 133.2","28.2, 65.7, 103.2, 140.7"
Deorro_(ft._Pitbull_&_Elvis_Crespo)_-_Bailar,"46.0, 126.6","66.6, 162.3"
East_&_Young___Elevate_(Original_Mix),"80.0, 175.3","110.5, 190.5"
Ellie_Goulding___On_My_Mind_(Jax_Jones_Remix),"52.5, 157.5","67.5, 172.5"
Emily_Vaughn_-_Better_Off_(Lash_Remix),"76.8, 169.0","92.2, 184.3"
Galantis___Peanut_Butter_Jelly_(Extended_Mix),"90.0, 180.0","105.0, 195.0"
Halsey_-_Bad_At_Love_(Generik_Remix),"39.4, 116.8","54.9, 132.4"
Halsey_-_New_Americana_(OLWIK_Remix),"23.4, 107.9","40.7, 125.2"
Keanu_Silva___Pump_Up_The_Jam_Extended_Mix,"45.7, 137.2","64.8, 156.2"
Loud_Luxury_-_Body_(Extended_Mix),"70.8, 145.6","86.6, 161.3"
M-22_-_Good_to_be_Loved_(KREAM_Remix),"38.1, 114.3, 144.8","53.4, 129.5, 160.0"
MAGIC!_-_Rude_(Zedd_Remix),"48.2, 127.6","64.1, 143.4"
Maggie_Lindemann_-_Pretty_Girl_(Cheat_Codes_x_Cade_Remix),"103.3, 236.3","118.1, 251.0"
Marshmello_&_Anne_Marie_-_FRIENDS_(Borgeous_Remix),"41.7, 133.6","58.5, 150.3"
Martin_Garrix_&_Third_Party_-_Lions_In_The_Wild_(Extended_Mix),"67.5, 165.0","97.5, 195.0"
Michael_Jackson___Love_Never_Felt_So_Good_(Fedde_Le_Grand_Remix),"60.0, 150.0","75.0, 172.5"
Miley_Cyrus_-_Malibu_(The_Him_Extended_Mix),"80.6, 180.5","96.0, 195.8"
Oliver_Heldens_&_Throttle_-_Waiting,"42.2, 153.6","57.6, 169.0"
Paul_Damixie_-_Get_Lost_(Extended_Version)_16.05.17_17,"96.0, 160.0, 208.0","112.0, 176.0, 224.0"
"Steve_Aoki,_Daddy_Yankee,_Play-N-Skillz,_Elvis_Crespo_-_Azukita","44.5, 103.5, 177.4","59.2, 118.3, 192.1"
The_Chainsmokers_-_Closer_(Jauz_Remix),"52.5, 97.5, 172.5","67.5, 112.5, 187.5"
The_Weeknd_ft._Daft_Punk_-_Starboy_(Stephen_Murphy_Remix),"62.3, 186.2","93.3, 217.2"
Tiësto_&_Oliver_Heldens_-_The_Right_Song_(feat._Natalie_La_Rose),"61.9, 123.8","77.4, 139.3"
Tiësto_-_Summer_Nights_(feat._John_Legend),"47.9, 140.1","63.3, 155.5"
Tove_Lo_-_Talking_Body_(KREAM_Remix),"31.1, 93.0, 139.5","46.6, 108.6, 149.2"
Twenty_One_Pilots___Stressed_Out_(Dave_Winnel_Remix),"30.6, 151.9","61.0, 168.6"
WALK_THE_MOON_-_Shut_Up_and_Dance_(The_White_Panda_Remix),"26.2, 93.7","41.2, 123.7"
Yeah_Yeah_Yeahs_x_A-Trak_-_Heads_Will_Roll_(DiscoTech_Remix),"75.0, 135.0, 225.0","90.0, 153.7, 240.0"
Zedd_-_I_Want_You_To_Know_(Feat._Selena_Gomez),"68.5, 179.3","83.3, 194.0"
Zedd_-_Stay_(Revolt_Remix),"63.7, 142.5","78.7, 157.5"
Zedd_Ft_Liam_Payne_-_Get_Low_(Callum_Knight_Remix),"78.7, 140.2, 188.1","94.1, 155.5, 203.5"
