Song Name,Buildups,Drops
3Lau_-_How_You_Love_Me,,"68.1, 158.1"
Alan_Walker_-_The_Spectre,,"72.4, 158.6"
Ariana_Grande_-_No_Tears_Left_To_Cry_(Dark_Intensity_Remix),"78.8, 156.9, 217.8","94.0, 172.1, 233.1"
Ariana_Grande_-_Side_To_Side_(TRU_Concept_Remix_ft._Romany),"33.0, 154.9","48.2, 170.1"
AronChupa_-_I'm_An_Albatraoz,,"52.6, 82.6, 129.4"
Avicii_-_The_Nights,,"64.1, 140.3, "
Avicii_-_Wake_Me_Up,,"86.2, 194.6, 210.1"
Axwell_Ingrosso_-_More_Than_You_Know_(Extended_Mix),"30.6, 174.2","60.8, 189.3"
Axwell_Ingrosso-On_My_Way_Dave_Winnel_Remix,"70.3, 171.8","93.8, 203.0"
Bastille_-_Good_Grief,,"55.9, 139.7"
Bastille_-_Good_Grief_(Don_Diablo_Remix),"57.8, 141.6","88.3, 172.1"
Bebe_Rexha_-_I_Got_You_(DJ_Andy_Light_&_DJ_Pavlov_Remix),"31.9, 136.9","46.9, 166.9"
Bee_Gees_-_Stayin'_Alive_(EVRYBDY_Bootleg),"76.9, 151.7","92.2, 167.1"
Calvin_Harris_-_I_Need_Your_Love,"67.4, 154.8","92.9, 170.3"
Calvin_Harris_-_My_Way_(Danny_Dove_Remix),"75.0, 150.0, 210.0","90.1, 165.1, 225.1"
Calvin_Harris_-_Summer_(Extended),"30.9, 108.3, 170.3","46.5, 123.9, 185.8"
Calvin_Harris_-_This_Is_What_You_Came_For_(feat._Rihanna),"47.2, 110.2, 157.3","62.9, 125.9 173.1"
Calvin_Harris_&_Disciples_-_How_Deep_Is_Your_Love,"23.2, 88.4, 149.9, 195.9","38.5, 103.8, 165.2, 211.3"
Calvo_-_Vicious_Girl_(Original_Mix),"61.5, 153.7","76.9, 169.0"
Camila_Cabello_-_Havana_ft._Young_Thug_(Dim_Wilder_Remix),"32.6, 132.5","48.0, 147.8"
Cascada_-_Everytime_we_Touch ,,"32.8, 156.2"
Cash_Cash_-_Take_Me_Home,"60.2, 137.0","75.1, 152.0"
Charlie_Puth_-_Attention_(Amice_Remix),"61.0, 152.5","76.3, 167.7"
Cheat_Codes_(ft._Demi_Lovato)_-_No_Promises_(Ashworth_Remix),"42.0, 106.0","58.0, 122.0"
Cheat_Codes_&_DVBBS_-_I_Love_It,"64.5, 147.8","80.3, 163.7"
Dada_Life_-_Born_To_Rage,,"68, 176.7"
Dada_Life_-_So_Young_So_High,,"68.9, 184.2"
David_Guetta_-_Titanium_(feat._Sia),"20.7, 58.2, 95.7, 133.2","28.2, 65.7, 103.2, 140.7"
Deorro_(ft._Pitbull_&_Elvis_Crespo)_-_Bailar,"46.0, 126.6","66.6, 162.3"
DEV_-_In_The_Dark,,"34.8, 92.4, 194.1"
Diplo_-_Revolution,,"80, 174.8"
DJ_Snake_-_Turn_Down_For_What,,"20.8, 78.4, 136"
DVBBS_-_Tsunami,,"77.5, 154.4"
DVBBS_-_Ur_on_My_Mind,"60.9, 137.1, 198.1","76.1, 152.3, 213.3"
